epd\simex.epd,8238,100
Amoeba 3.0,-----,44.66,46.21,45.09,48.84,45.15,48.65,47.02,43.01,46.86,47.16,47.46,48.60,46.75,45.61,47.15,49.87,43.78,47.46,46.04,49.31,46.64
Andscacs 0.93,44.66,-----,45.21,46.69,44.85,48.28,46.50,50.71,45.84,50.21,50.67,44.15,48.14,49.23,46.98,49.68,48.63,50.64,47.93,46.90,50.53,43.05
Arasan 21.3,46.21,45.21,-----,45.83,46.91,48.09,47.77,48.05,43.56,48.05,47.90,46.11,49.09,47.87,46.98,47.08,49.23,46.87,48.69,48.22,49.75,45.28
Booot 6.3.1,45.09,46.69,45.83,-----,43.56,47.69,46.64,48.18,45.37,49.26,48.78,44.74,46.95,47.55,45.39,47.84,47.14,48.94,46.34,47.25,49.49,43.26
Cheng 4.39,48.84,44.85,46.91,43.56,-----,45.28,47.49,46.21,41.50,46.82,45.57,46.00,49.57,46.73,46.61,45.74,47.80,43.66,49.15,45.08,47.94,45.54
Defenchess 2.1,45.15,48.28,48.09,47.69,45.28,-----,48.04,52.17,45.51,49.47,51.46,45.79,49.73,52.75,49.62,49.79,48.91,51.11,49.31,49.36,50.54,44.17
Demolito 2019-07-15,48.65,46.50,47.77,46.64,47.49,48.04,-----,49.20,45.25,49.66,50.44,48.91,48.48,50.41,49.35,51.51,50.99,47.39,47.78,50.54,53.22,47.66
Ethereal 11.25,47.02,50.71,48.05,48.18,46.21,52.17,49.20,-----,46.27,51.36,54.06,47.58,49.03,54.29,51.22,51.86,51.00,53.06,50.22,49.34,51.56,44.58
Fire 7.1,43.01,45.84,43.56,45.37,41.50,45.51,45.25,46.27,-----,46.47,47.01,43.74,45.25,46.21,44.45,45.53,46.39,46.39,44.65,45.84,46.10,42.25
Gull 3,46.86,50.21,48.05,49.26,46.82,49.47,49.66,51.36,46.47,-----,51.34,46.25,49.65,51.08,48.80,50.84,51.21,51.29,49.90,48.38,54.14,44.19
Laser 1.7,47.16,50.67,47.90,48.78,45.57,51.46,50.44,54.06,47.01,51.34,-----,47.75,50.62,52.54,50.13,51.39,50.90,52.87,50.65,49.81,53.69,45.97
Pedone 1.9,47.46,44.15,46.11,44.74,46.00,45.79,48.91,47.58,43.74,46.25,47.75,-----,47.21,46.13,45.63,47.16,47.93,44.11,47.12,46.97,48.97,46.13
Rodent 0.277,48.60,48.14,49.09,46.95,49.57,49.73,48.48,49.03,45.25,49.65,50.62,47.21,-----,50.22,48.89,49.12,50.55,47.64,51.73,47.93,52.25,47.16
RofChade 2.1,46.75,49.23,47.87,47.55,46.73,52.75,50.41,54.29,46.21,51.08,52.54,46.13,50.22,-----,50.64,51.08,49.63,52.61,50.77,49.26,51.90,45.65
RubiChess 1.5,45.61,46.98,46.98,45.39,46.61,49.62,49.35,51.22,44.45,48.80,50.13,45.63,48.89,50.64,-----,48.80,49.74,47.49,47.81,47.54,50.08,45.90
Schooner 2.0.34,47.15,49.68,47.08,47.84,45.74,49.79,51.51,51.86,45.53,50.84,51.39,47.16,49.12,51.08,48.80,-----,50.56,50.00,49.06,49.28,52.03,45.55
Senpai 2.0,49.87,48.63,49.23,47.14,47.80,48.91,50.99,51.00,46.39,51.21,50.90,47.93,50.55,49.63,49.74,50.56,-----,48.18,50.50,49.12,53.15,49.08
Stockfish 10,43.78,50.64,46.87,48.94,43.66,51.11,47.39,53.06,46.39,51.29,52.87,44.11,47.64,52.61,47.49,50.00,48.18,-----,48.60,48.16,50.26,42.32
Texel 1.07,47.46,47.93,48.69,46.34,49.15,49.31,47.78,50.22,44.65,49.90,50.65,47.12,51.73,50.77,47.81,49.06,50.50,48.60,-----,47.24,51.34,46.42
Vajolet2 2.7,46.04,46.90,48.22,47.25,45.08,49.36,50.54,49.34,45.84,48.38,49.81,46.97,47.93,49.26,47.54,49.28,49.12,48.16,47.24,-----,52.23,45.49
Wasp 3.60,49.31,50.53,49.75,49.49,47.94,50.54,53.22,51.56,46.10,54.14,53.69,48.97,52.25,51.90,50.08,52.03,53.15,50.26,51.34,52.23,-----,47.76
Winter 0.6,46.64,43.05,45.28,43.26,45.54,44.17,47.66,44.58,42.25,44.19,45.97,46.13,47.16,45.65,45.90,45.55,49.08,42.32,46.42,45.49,47.76,-----